customer_id,name,mobile,email
C301,Avery Birchall,555-0110,avery.birchall@example.com
C302,Blake Fothergill,555-0111,blake.fothergill@example.com
C303,Casey Jellicoe,555-0112,casey.jellicoe@example.com
C304,Drew Nettleship,555-0113,drew.nettleship@example.com
C305,Emery Cobbold,555-0114,emery.cobbold@example.com
C306,Finley Gilchrist,555-0115,finley.gilchrist@example.com
C307,Gray Kettleby,555-0116,gray.kettleby@example.com
C308,Harper Ormerod,555-0117,harper.ormerod@example.com
C309,Indy Dewhurst,555-0118,indy.dewhurst@example.com
C310,Jordan Hazeldine,555-0119,jordan.hazeldine@example.com
C311,Kendall Lindqvist,555-0120,kendall.lindqvist@example.com
C312,Logan Ashdown,555-0121,logan.ashdown@example.com
C313,Marlow Elsworth,555-0122,marlow.elsworth@example.com
C314,Noel Inchbald,555-0123,noel.inchbald@example.com
C315,Oakley Marchbanks,555-0124,oakley.marchbanks@example.com
C316,Parker Birchall,555-0125,parker.birchall@example.com
C317,Quinn Fothergill,555-0126,quinn.fothergill@example.com
C318,Reese Jellicoe,555-0127,reese.jellicoe@example.com
C319,Sage Nettleship,555-0128,sage.nettleship@example.com
C320,Tatum Cobbold,555-0129,tatum.cobbold@example.com
C321,Avery Gilchrist,555-0130,avery.gilchrist@example.com
C322,Blake Kettleby,,blake.kettleby@example.com
C323,Casey Ormerod,555-0132,casey.ormerod@example.com
C324,Drew Dewhurst,,drew.dewhurst@example.com
C325,Emery Hazeldine,555-0134,emery.hazeldine@example.com
C326,Finley Lindqvist,555-0135,finley.lindqvist@example.com
C327,Gray Ashdown,555-0136,gray.ashdown@example.com
C328,Harper Elsworth,555-0137,harper.elsworth@example.com
C329,Indy Inchbald,555-0138,indy.inchbald@example.com
C330,Jordan Marchbanks,555-0139,jordan.marchbanks@example.com
C331,Kendall Birchall,555-0140,kendall.birchall@example.com
C332,Logan Fothergill,555-0141,logan.fothergill@example.com
C333,Marlow Jellicoe,555-0142,marlow.jellicoe@example.com
C334,Noel Nettleship,555-0143,noel.nettleship@example.com
C335,Oakley Cobbold,555-0144,oakley.cobbold@example.com
C336,Parker Gilchrist,555-0145,parker.gilchrist@example.com
C337,Quinn Kettleby,555-0146,quinn.kettleby@example.com
C338,Reese Ormerod,555-0147,reese.ormerod@example.com
C339,Sage Dewhurst,555-0148,sage.dewhurst@example.com
C340,Tatum Hazeldine,555-0149,tatum.hazeldine@example.com
