member_id,name,email,tier,amount,charged_on,result,retried_on,retry_result,note_sent
LL-1001,Ada Dunmore,ada.dunmore@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1002,Bram Kincaid,bram.kincaid@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1003,Celia Redfern,celia.redfern@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1004,Dev Everly,dev.everly@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1005,Elin Lockwood,elin.lockwood@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1006,Farah Stroud,farah.stroud@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1007,Gus Fairbrook,gus.fairbrook@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1008,Hana Merriwether,hana.merriwether@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1009,Ivo Thackeray,ivo.thackeray@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1010,Jun Galloway,jun.galloway@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1011,Kira Northcott,kira.northcott@example.com,Cellar Six,89.00,2026-09-20,declined,,,
LL-1012,Lars Abernathy,lars.abernathy@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1013,Mina Hollister,mina.hollister@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1014,Noor Oakley,noor.oakley@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1015,Otto Bellamy,otto.bellamy@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1016,Pia Ingram,pia.ingram@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1017,Quinn Penrose,quinn.penrose@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1018,Rafe Castellan,rafe.castellan@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1019,Suki Jessup,suki.jessup@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1020,Tomas Quarles,tomas.quarles@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1021,Uma Dunmore,uma.dunmore@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1022,Vito Kincaid,vito.kincaid@example.com,Cellar Twelve,169.00,2026-09-20,declined,2026-09-20,approved,yes
LL-1023,Wren Redfern,wren.redfern@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1024,Yara Everly,yara.everly@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1025,Ada Lockwood,ada.lockwood@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1026,Bram Stroud,bram.stroud@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1027,Celia Fairbrook,celia.fairbrook@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1028,Dev Merriwether,dev.merriwether@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1029,Elin Thackeray,elin.thackeray@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1030,Farah Galloway,farah.galloway@example.com,Cellar Six,89.00,2026-09-20,declined,,,
LL-1031,Gus Northcott,gus.northcott@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1032,Hana Abernathy,hana.abernathy@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1033,Ivo Hollister,ivo.hollister@example.com,Cellar Six,89.00,2026-09-20,approved,,,
